id,text,x1,y1,x2,y2,src_x1,src_y1,src_x2,src_y2,tile,dup_of,fragment,surya_line,surya_conf,rotation,conflict
142,2,4163,4297,4186,4326,4163,4297,4186,4326,r3c3,,,,,0,
1721,30,4421,4299,4451,4327,4421,4299,4451,4327,r4c3@30,,,,,30,
908,12,2531,4300,2575,4342,2531,4300,2575,4342,r3c2@60,,,,,60,
853,16,3173,4301,3214,4344,3173,4301,3214,4344,r3c2@30,,,,,30,
304,BLM.,2675,4303,2698,4320,2675,4303,2698,4320,r4c2,,,,,0,
301,BLM.,2698,4307,2721,4326,2698,4307,2721,4326,r4c2,,,,,0,
298,BLM.,2720,4312,2741,4330,2720,4312,2741,4330,r4c2,,,,,0,
1658,3,3318,4313,3360,4355,3318,4313,3360,4355,r4c2@60,,,,,60,
294,BLM.,2741,4317,2763,4335,2741,4317,2763,4335,r4c2,,,,,0,
292,BLM.,2763,4321,2782,4340,2763,4321,2782,4340,r4c2,,,,,0,
289,BLM.,2782,4327,2802,4346,2782,4327,2802,4346,r4c2,,,,,0,
285,BLM.,2801,4334,2821,4352,2801,4334,2821,4352,r4c2,,,,,0,
184,3,3857,4338,3897,4386,3857,4338,3897,4386,r3c3,,,,,0,
280,BLM.,2821,4340,2841,4358,2821,4340,2841,4358,r4c2,,,,,0,
281,7,4326,4340,4349,4369,4326,4340,4349,4369,r4c3,,,,,0,
276,BLM.,2839,4344,2858,4363,2839,4344,2858,4363,r4c2,,,,,0,
1935,Sting,3589,4348,3691,4435,3589,4348,3691,4435,r3c2@60,,,,,60,
1463,Singhama,3561,4349,3721,4506,3561,4349,3721,4506,r3c3@60,,,,,60,
274,BLM.,2879,4353,2899,4373,2879,4353,2899,4373,r4c2,,,,,0,
208,Hotel,3642,4354,3680,4421,3642,4354,3680,4421,r3c3,,,,,0,
987,5,3407,4359,3452,4402,3407,4359,3452,4402,r3c2@60,,,,,60,
266,BLM.,2901,4361,2919,4380,2901,4361,2919,4380,r4c2,,,,,0,
1385,71,4139,4365,4163,4387,4139,4365,4163,4387,r4c3@30,,,,,30,
189,9,3414,4367,3443,4395,3414,4367,3443,4395,r3c2,,,,,0,
