id,text,x1,y1,x2,y2,src_x1,src_y1,src_x2,src_y2,tile,dup_of,fragment,surya_line,surya_conf,rotation,conflict
300,118,2711,1285,2741,1301,5063,2400,5119,2430,r2c4,,,,,0,
294,112,2381,1286,2408,1300,4446,2401,4497,2428,r2c4,,,,,0,
295,113,2427,1286,2453,1301,4532,2403,4581,2430,r2c4,,,,,0,
296,117,2490,1286,2518,1301,4650,2401,4703,2430,r2c4,,,,,0,
290,"12""",3028,1287,3044,1298,5656,2404,5685,2424,r2c5,,,,,0,
274,109,1546,1294,1579,1311,2887,2417,2950,2448,r2c2,,,,,0,
293,110,1788,1296,1818,1309,3340,2420,3395,2446,r2c3,,,,,0,
269,111,1850,1296,1876,1308,3455,2420,3504,2443,r2c3,,,,,0,
265,Hides.,925,1297,1000,1324,1727,2423,1868,2473,r2c1,,,,,0,
254,2,2983,1302,2998,1318,5571,2431,5600,2461,r2c5,,,,,0,
545,OFF.,2826,1306,2845,1349,5278,2438,5314,2519,r2c4,,,,,0,
629,"12""",2892,1306,2902,1319,5402,2440,5420,2464,r2c4,,,,,0,
241,1,2696,1307,2705,1322,5036,2441,5052,2469,r2c4,,,,,0,
236,0,2670,1308,2680,1319,4987,2443,5006,2463,r2c4,,,,,0,
229,0,2562,1309,2572,1320,4785,2446,4804,2466,r2c4,,,,,0,
230,1,2582,1309,2591,1323,4822,2444,4839,2470,r2c4,,,,,0,
559,x,2747,1309,2756,1319,5131,2446,5148,2464,r2c5,,,,,0,
647,x,2888,1309,2897,1319,5393,2445,5410,2464,r1c4,,,,,0,
227,0,2458,1310,2467,1321,4590,2447,4608,2467,r2c4,,,,,0,
228,1,2478,1310,2489,1328,4629,2447,4649,2480,r2c4,,,,,0,
657,2,2828,1311,2838,1322,5282,2449,5300,2470,r1c5,,,,,0,
658,30,2891,1311,2905,1322,5399,2449,5426,2470,r1c5,,,,,0,
223,1,2363,1313,2371,1326,4413,2453,4429,2477,r2c4,,,,,0,
224,"16""",2896,1313,2906,1326,5409,2453,5428,2476,r2c5,,,,,0,
218,2,1975,1316,1989,1332,3689,2459,3715,2487,r2c3,,,,,0,
304,1,1785,1318,1792,1331,3334,2461,3347,2486,r2c3,,,,,0,
247,3/2,1807,1318,1849,1332,3375,2461,3453,2489,r2c3,,,,,0,
285,Sal.,2709,1318,2736,1365,5060,2461,5109,2549,r2c4,,,,,0,
209,2,2080,1319,2097,1337,3885,2464,3917,2497,r2c3,,,,,0,
208,x,1876,1320,1885,1329,3504,2466,3521,2481,r2c3,,,,,0,
195,Banky,2925,1324,2995,1351,5462,2473,5594,2523,r2c5,,,,,0,
189,x,994,1326,1005,1336,1856,2476,1878,2496,r2c1,,,,,0,
190,x,1013,1326,1025,1336,1892,2476,1914,2496,r2c1,,,,,0,
284,West,1791,1330,1843,1346,3344,2484,3442,2514,r2c3,,,,,0,
180,x,1848,1330,1870,1344,3451,2484,3492,2510,r2c3,,,,,0,
434,8,2803,1333,2812,1344,5236,2490,5251,2510,r2c5,,,,,0,
159,BUILT.,2540,1340,2620,1366,4743,2503,4894,2550,r2c4,,,,,0,
154,307,2110,1342,2127,1387,3941,2507,3973,2590,r2c3,,,,,0,
155,BEING,2419,1342,2497,1367,4518,2507,4664,2553,r2c4,,,,,0,
134,1,1973,1352,1981,1364,3686,2525,3700,2547,r2c3,,,,,0,
